ID	Purpose	Description	Evaluate Green (Grn-)	Evaluate Red (Red)	Expected Intensity	 Control Type
4200736	Staining DNP Sig	DNP (Med)	-	+	High	Sample-Independent
5340168	Staining DNP Bgnd	DNP (Bgnd)	-	+	Background	Sample-Independent
4570020	Staining Biotin Sig	Biotin (Med)	+	-	High	Sample-Independent
5050601	Staining Biotin Bgnd	Biotin (Bgnd)	+	-	Background	Sample-Independent
2450040	Hybridization L	Hyb (Low)	+	-	Low	Sample-Independent
5690110	Hybridization M	Hyb (Medium)	+	-	Medium	Sample-Independent
5690072	Hybridization H	Hyb (High)	+	-	High	Sample-Independent
580035	Target Removal	Target Removal	+	-	Background	Sample-Independent
360446	Extension A	Extension (A)	-	+	High	Sample-Independent
520537	Extension T	Extension (T)	-	+	High	Sample-Independent
1190050	Extension C	Extension (G)	+	-	High	Sample-Independent
2630184	Extension G	Extension (C)	+	-	High	Sample-Independent
5270706	Bisulfite conversion I C green	BC conversion C1	+	-	High	Sample-Dependent
5290048	Bisulfite conversion I U green	BC conversion U1	+	-	Background	Sample-Dependent
4670278	Bisulfite conversion I C green	BC conversion C2	+	- 	High	Sample-Dependent
4670484	Bisulfite conversion I U green	BC conversion U2	+	-	Background	Sample-Dependent
4610725	Specificity I PM red	GT mismatch 1 (PM)	-	+	High	Sample-Dependent
4610400	Specificity I MM red	GT mismatch 1 (MM)	-	+	Background	Sample-Dependent
3800154	Specificity I PM green	GT mismatch 2 (PM)	+	-	High	Sample-Dependent
3800086	Specificity I MM green	GT mismatch 2 (MM)	+	-	Background	Sample-Dependent
50110	Negative	Negative	+	+	Background	Sample-Dependent
360079	Negative	Negative	+	+	Background	Sample-Dependent
430114	Negative	Negative	+	+	Background	Sample-Dependent
460494	Negative	Negative	+	+	Background	Sample-Dependent
540577	Negative	Negative	+	+	Background	Sample-Dependent
610692	Negative	Negative	+	+	Background	Sample-Dependent
610706	Negative	Negative	+	+	Background	Sample-Dependent
670750	Negative	Negative	+	+	Background	Sample-Dependent
1190458	Negative	Negative	+	+	Background	Sample-Dependent
1500059	Negative	Negative	+	+	Background	Sample-Dependent
1500167	Negative	Negative	+	+	Background	Sample-Dependent
1500398	Negative	Negative	+	+	Background	Sample-Dependent
1660097	Negative	Negative	+	+	Background	Sample-Dependent
1770019	Negative	Negative	+	+	Background	Sample-Dependent
1940364	Negative	Negative	+	+	Background	Sample-Dependent
1990692	Negative	Negative	+	+	Background	Sample-Dependent
1740025	Non-Polymorphic A	NP (A)	-	+	High	Sample-Dependent
2480348	Non-Polymorphic T	NP (T)	-	+	High	Sample-Dependent
110184	Non-Polymorphic C	NP (G)	+	-	High	Sample-Dependent
2810035	Non-Polymorphic G	NP (C)	+	-	High	Sample-Dependent
